,Route,Route Type,Grading,Area Latitude,Area Longitude,State,Gorge,Area,Crag,Subcrag,Description,URL
369,Council Rock Traverse,Boulder,V0,40.0682,-75.22034,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Council Rock,Start with large jugs on the far left. Traverse right using the lowest holds and exit right onto the lower ledge.,https://www.mountainproject.com/route/117755558/council-rock-traverse
370,Pahsaheman,Boulder,V0,40.0682,-75.22034,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Council Rock,Start on the obvious hold on the lower left. Climb the nice holds to the left of the arête.,https://www.mountainproject.com/route/112778950/pahsaheman
371,Teedyuscung,Boulder,V1-,40.0682,-75.22034,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Council Rock,Start on large jugs on the left and traverse up and right across the face. Climb up on jugs on the right side of the face and top out over the highest point.,https://www.mountainproject.com/route/112778926/teedyuscung
372,Fishbowl,Boulder,V0-,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,Start on the huge jug at the base. Boulder at the base is on. Throw straight up to the lip and top out. Far right jugs and arête are off.Beta Vid,https://www.mountainproject.com/route/114099402/fishbowl
373,Ben Franklin,Boulder,V1,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,"Sit start with a left heel, reach up to the crack and move right. Solid top out.Beta Vid",https://www.mountainproject.com/route/114099355/ben-franklin
374,Im Bringing Lobsterbacks,Boulder,V1,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,Start with a hand on the lip and a hand in the tiny but incut crimp under the lip. Make a hard starting move to a juggy flake and then follow jugs up and right.,https://www.mountainproject.com/route/118056909/im-bringing-lobsterbacks
375,Skeletons In The Closet,Boulder,V1,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,"Sit start on a jug and work up and right on good holds. Figure out a way to reach the crack on the face above the roof, and then manage the scary and insecure topout. A key hold on the lip is hollow sounding and flexing, might break off after another winter freeze/thaw.",https://www.mountainproject.com/route/118169552/skeletons-in-the-closet
376,Squishy Fishies,Boulder,V2,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,Start on jug below the boulder. Move on ledge right until top out. Do not use the detached block for feet.,https://www.mountainproject.com/route/119340848/squishy-fishies
377,Mind The Gap,Boulder,V2,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,Sit start with hands on the slopey start and toes hooked around the arete as seen in the picture. Move up and top out over the lip. Make sure to have a spotter as a fall could send you tumbling down the hill.Beta Video:,https://www.mountainproject.com/route/118626362/mind-the-gap
378,Im A Man Cheetah,Boulder,V2,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,"I believe this is a FA. start with left hand on crimp, and right hand on the obvious hold. Go directly up and over the bulge of the boulder to top out.Beta Vid:",https://www.mountainproject.com/route/117662910/im-a-man-cheetah
379,A Very Good Cool Down Problem,Boulder,V2-3,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,Start at the base of Ben Franklin and moves up and right to the obvious positive (and very sharp) horizontal. Follow the progressively smoother and smaller holds moving right to the obvious finish rail. Nice traverse for waiting out the rain.,https://www.mountainproject.com/route/119115076/a-very-good-cool-down-problem
380,The Snack That Smiles Back,Boulder,V3,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,Start on the jug below boulder and move straight up the face. Do NOT use the block.,https://www.mountainproject.com/route/119340822/the-snack-that-smiles-back
381,Dishless Traverse,Boulder,V3,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,"It's an eliminate, but hey, this is the Wiss. Sit start with hands on the sloping rail at the right end of the boulder. Move left, through textured slopers and the perpetually-soggy crimps and into the big jug underneath the ""dirty dishes"" holds, without using the dishes. Keep traversing left to the big sharp jug on the arete, or save yourself the pump and shoot directly to the good holds above the jug on the arete. Top out as for Ben Franklin.",https://www.mountainproject.com/route/119451072/dishless-traverse
382,Dirty Dishes,Boulder,V3+,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,V4- Version: Sit start on crimps in center face. Move up to a jug then work up and right to a large slot without using the jugs out left. Top out above.V3+ Version: Sit start on crimps in center face. Move up using your choice of holds and top out.,https://www.mountainproject.com/route/114099382/dirty-dishes
383,Dirty Lobsters,Boulder,V3+,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,Start as for Dirty Dishes [V3] and bust right using some awkward body tension cross moves. Finish as for I'm Bringing Lobsterbacks [V2].,https://www.mountainproject.com/route/118056934/dirty-lobsters
384,Dirty Dish Traverse,Boulder,V4,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,"Sit start with hands on the sloping rail at the right end of the boulder. Make your way left to the ""dirty dishes"" holds and keep going (crux) until you hit the arete. Top out as for Ben Franklin.",https://www.mountainproject.com/route/119451452/dirty-dish-traverse
385,Fishy Arete,Boulder,V4,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,Start on the jug at the base. Boulder at the base is on. Throw a right heel and move left on frictiony holds. Use the arete and crimps to get up and top out.Beta Video,https://www.mountainproject.com/route/114099427/fishy-arete
386,Pinsor,Boulder,V5-,40.02702,-75.19416,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Revolutionary Ridge Boulders,"Start on the jug under the boulder. Toe hook to start, the kick boulder is off. Bump to a good right hand and kick around to a hand foot match with a right heel. (Hard not to dab)Use slopers to get to the Arete, then make a match on a wide pinch. Exit out to left of the Arete and start hold. Mellow topout",https://www.mountainproject.com/route/116106444/pinsor
387,Wissahickon Hermit Boulder,Boulder,V1,40.02842,-75.19825,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Wissahickon Hermit Boulder,Start your way up by using the first obvious sloper. Work your way up by using the small finger slots or the other slopers.The climb is finished at the very last hold.,https://www.mountainproject.com/route/115390662/wissahickon-hermit-boulder
388,Potpourri,Boulder,V2+,40.05154,-75.21479,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Devil's Pool Boulder,"Climb the arete on the far right of the boulder up to the alcove, and follow up to the top.",https://www.mountainproject.com/route/120153795/potpourri
389,Wrastlin,Boulder,V3,40.05154,-75.21479,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Devil's Pool Boulder,"Start with hand jams as low as possible in the lower left of the diagonally running hand crack. Follow the crack up and right where it flares out. The crux is getting from the flare to the upper lip of the boulder and there are two ways to go about it. Either make a reachy dynamic throw to the lip, or calf hook into the flare and use an undercling to wrestle your way into an insecure heel/toe cam then reach for the lip. Either method is very committing and having a spotter would be very nice psychological pro. The topout is easy enough but not a ""gimme"" so exercise caution as it would be a nasty fall coming off of the top.",https://www.mountainproject.com/route/116112989/wrastlin
390,Unknown Herb,Boulder,V4-,40.05154,-75.21479,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Devil's Pool Boulder,Start on the juggy left crack and climb straight up,https://www.mountainproject.com/route/120153876/unknown-herb
391,Unknown Undercling,Boulder,V6+,40.05154,-75.21479,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Devil's Pool Boulder,"Starting on the far right of the front face, traverse left to the sloping crack until you reach the start of ""Unknown Herb"", Finish on ""Unknown Herb"".",https://www.mountainproject.com/route/120153853/unknown-undercling
392,Shouting At The Devil,Boulder,V7,40.05154,-75.21479,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Devil's Pool Boulder,"Start in the prominent crack that ""Wrastlin'"" follows, but climb straight up the face and out left.",https://www.mountainproject.com/route/120153827/shouting-at-the-devil
393,Up Schist Creek,Boulder,V0,40.04363,-75.21309,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Gorgas Creek Cave,Start on right side of lower rock formation and traverse left along obvious upper jug.  Lower crack provides secure feet.  Top out is slightly around the left side but be aware some rocks may be loose.,https://www.mountainproject.com/route/116620809/up-schist-creek
394,Hips And Nips,Boulder,V1,40.04363,-75.21309,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Gorgas Creek Cave,Sit start using the lower crack with sloping handholds.  Lay back and find foot holds inside the cave.  Traverse the cave opening by swiveling your hips to find footholds on lower left side of cave wall.  Proceed to obvious top out.,https://www.mountainproject.com/route/116625263/hips-and-nips
395,Double Rainbow,Boulder,V1,40.04363,-75.21309,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Gorgas Creek Cave,"Sit start where the left side of the cave meets the ground, not in the cave but on the outside as it begins to wrap around the corner. Traverse right over the opening of the cave. At some point you'll need to switch feet from one side to the other while your hands are towards the center of the top of the ""rainbow"" arch. Continue the traverse until you're fully to the right of the arch, then follow the crack up to the top edge of the rock (top rock is a bit dirty / overgrown), and follow that edge back over the cave until you're fully wrapped around the left side of the rock formation.",https://www.mountainproject.com/route/119359690/double-rainbow
396,Wu Han,Boulder,V2,40.04363,-75.21309,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Gorgas Creek Cave,Start inside the cave about 4 ft in to the right. Two hand start on most obvious overhanging hold (it's well chalked).  Continue out to the lower right area of cave entrance and stay low with hands while moving to the lower left of cave entrance. My finish was a prominent hold to the left of entrance where I could firmly place two hands with relatively good footing. There is also an obvious top out variation that's still in the V3-category.,https://www.mountainproject.com/route/118755973/wu-han
397,Log Lady,Boulder,V1+,40.05755,-75.21799,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,SDS on the face to the left of the cave with a small left edge and large right jug. Climb straight up and top out in the space next to the tree.,https://www.mountainproject.com/route/116841218/log-lady
398,Rifle,Boulder,V3,40.05755,-75.21799,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,Start low in the shallow cave and move up and right along a system of jugs. Top out over the lower ledge on the right side of the face. The difficulty level will probably depend mostly on how deep in the cave you begin.,https://www.mountainproject.com/route/116841254/rifle
399,Rampage,Boulder,V3,40.05755,-75.21799,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,Right in between the rifle and the long lady. This time you are sending it all the way too the top. Have plenty of pads and spotters!,https://www.mountainproject.com/route/119008666/rampage
400,All Toads Go To Heaven,Boulder,V0-1,40.0578,-75.21827,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,SDS as low as possible with your choice of great holds. Move up over the bulge and top out. Great warm out.,https://www.mountainproject.com/route/116845445/all-toads-go-to-heaven
401,The Dirty Betsy,Boulder,V0-,40.0578,-75.21827,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,"Start on the lower crack and move up/across the overhang and top out on the right side. Side rock is on for V0, but can make it more challenging by skipping that feature. Avoid the dirt on the right!",https://www.mountainproject.com/route/119527878/the-dirty-betsy
402,The Cubicle,Boulder,V0,40.0578,-75.21827,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,Begin on crimps on the slab at the base. Move up between the two walls and top out.,https://www.mountainproject.com/route/116841441/the-cubicle
403,Lite Green Lichen,Boulder,V0,40.05817,-75.21897,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,Sit start with feet swept out to the left. Low crimpy holds and a heel hook may be useful beta. Make 1 or 2 powerful moves (height dependent) up to the contoured pocket and jug on the right. Match feet in the pocket and proceed to top out.,https://www.mountainproject.com/route/120049490/lite-green-lichen
404,Ollivanders,Boulder,V0,40.05817,-75.21897,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,Start on the far left and traverse right as far as possible before topping out. The top ledge is on.,https://www.mountainproject.com/route/116841936/ollivanders
405,Kirlian Auras,Boulder,V1,40.05817,-75.21897,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,SDS with crimps at the bottom left. Move up on a sloper to a horizontal crack midway up. Keep moving and top out. Most holds are pretty clear of lichen already but you may have to brush a few holds.Beta Video,https://www.mountainproject.com/route/116842282/kirlian-auras
406,Rip Torn,Boulder,V1,40.05817,-75.21897,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,SDS matched on the sharp arete in the middle of the wall. Move up to friendlier jugs in a crack on the right. Top out above.Beta Video,https://www.mountainproject.com/route/118158407/rip-torn
407,Lotza Lichen,Boulder,V1,40.05817,-75.21897,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,Sit start on a jug flake below the blunt arete. Climb up and right following a large slanting crack to the top.,https://www.mountainproject.com/route/121166741/lotza-lichen
408,Lichen Variation,Boulder,V1+,40.05817,-75.21897,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,"Sit start with hands matched on half moon crimp. Left foot heel hook, far right reach to knobby jub. Continue to contoured shelf and easy top out diagonally right.",https://www.mountainproject.com/route/120150307/lichen-variation
409,Gneiss Dreams,Boulder,V1-2,40.05817,-75.21897,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,Start on the far left and traverse right as far as possible before topping out. The top ledge is off.,https://www.mountainproject.com/route/116842602/gneiss-dreams
410,Crown Of Thorns,Boulder,V2,40.05817,-75.21897,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,Sit start on a jug at the base of the arete. Follow the line of the arete.,https://www.mountainproject.com/route/121166783/crown-of-thorns
411,Garnet,Boulder,V0,40.05914,-75.21982,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,"SDS with a large left sidepull and a low right crimp. Bump to higher jugs and cruise on up to an easy top out. Only a warm up, but we all gotta warm up somehow.Beta Video",https://www.mountainproject.com/route/118158510/garnet
412,Aladdin Vein,Boulder,V1,40.05914,-75.21982,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,"SDS and climb the crack to a solid top out. Sadly, the holds in the crack have some serious mud so beware if it's rained recently.Beta Video",https://www.mountainproject.com/route/116842686/aladdin-vein
413,Quartz Crimp Traverse,Boulder,V0,40.05805,-75.21934,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,Start as far left as possible on jugs in the wall. Traverse right without using holds on the lip. Top out on the right.Beta Video,https://www.mountainproject.com/route/118158860/quartz-crimp-traverse
414,Pumpers Better Than Tumblers,Boulder,V1+,40.05805,-75.21934,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Valley Green,SDS matched on the left arête. Traverse right along the sloping lip. Round the corner and continue right as far as possible. Throw a heel and top out.Beta Video,https://www.mountainproject.com/route/118158918/pumpers-better-than-tumblers
415,Sunday Stroll,Boulder,V0+,40.02806,-75.19097,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Rittenhouse Boulders,Start on the right side of the boulder with a low left jug and right edge. Move left to large holds on the face. Top out over the arête without exiting right onto the large shelf.Beta Video,https://www.mountainproject.com/route/117648473/sunday-stroll
416,A Walk In The Park,Boulder,V0+,40.02806,-75.19097,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Rittenhouse Boulders,"Start on the right side of the boulder with a low left jug and right edge. Climb up to the ledge, reach for a high right jug then top out.Beta Video",https://www.mountainproject.com/route/117648346/a-walk-in-the-park
417,Unnamed,Boulder,V1,40.02806,-75.19097,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Rittenhouse Boulders,SDS on the arête and climb up to jugs on the face. Top out on the right shelf. Boulder to the right of the arête is off.,https://www.mountainproject.com/route/117648727/unnamed
418,Unnamed,Boulder,V1+,40.02806,-75.19097,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Rittenhouse Boulders,"SDS on the arête and traverse along the jugs under the roof. At the dihedral, move up to the jugs under the second roof and traverse back to the right ledge and topout.",https://www.mountainproject.com/route/117648780/unnamed
419,Limerence,Boulder,V2,40.02806,-75.19097,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Rittenhouse Boulders,"Start with large edge on the right corner at about chest height. Follow the diagonal crack up and left to the peak of the left arête. Traverse left along the lip and top out on the far left. Fun moves and a lot of mileage on this one.Beta VideoA harder variation avoids the the lip, following the crack as far as possible before topping out.",https://www.mountainproject.com/route/119219378/limerence
420,Light Of My Life,Boulder,V0-,40.06794,-75.22233,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Loners,"Climb up the numerous jugs and shelves to a scrambly top out.On the right side of the large loner boulder.GPS:40.06817, -75.22234",https://www.mountainproject.com/route/117000046/light-of-my-life
421,Short N Sour,Boulder,V0+,40.06794,-75.22233,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Loners,Short climb that's hard on your hands.,https://www.mountainproject.com/route/120747850/short-n-sour
422,Saucer Traverse,Boulder,V2,40.06794,-75.22233,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Loners,A nice long overhang traverse. Start as far left as possible and traverse the overhang. Top out with a mantle at the far right.,https://www.mountainproject.com/route/116999681/saucer-traverse
423,Unnamed Left,Boulder,V1-,40.01834,-75.20298,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Nose,Sit start on the left side of the nose.  Pull two easy moves finishing with either a Dyno to the lip or a dead point to a slopey  jug. Top out is mellow.,https://www.mountainproject.com/route/117678763/unnamed-left
424,The Nose Right,Boulder,V4-5,40.01834,-75.20298,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Nose,"Stand start on a left hand Gaston, and a right hand side pull. Cross to the highest crimp and bump left. Use some heel compression and finish up with a bomb for the lip.The top is harder since a hold broke off.",https://www.mountainproject.com/route/117678903/the-nose-right
425,Moon Pool,Boulder,V0-1,40.06249,-75.22188,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Cleaver Boulder,Stand start matched on the far left end of the lip. Traverse right along the ridge to an easy top out.,https://www.mountainproject.com/route/119291453/moon-pool
426,The Cleaver,Boulder,V0-1,40.06249,-75.22188,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Cleaver Boulder,Start on the far right and climb the arete then traverse. There are some nice crimps on the rock face along the way as well. Solid skinny topout at end of the boulder.,https://www.mountainproject.com/route/118325067/the-cleaver
427,Deepest Bluest,Boulder,V0-1,40.06249,-75.22188,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Cleaver Boulder,"SDS with jug. Move up to crimp rail, gain the lip, move right to an easy top out.",https://www.mountainproject.com/route/119291586/deepest-bluest
428,My Hat Is Like A Sharks Fin,Boulder,V0-1,40.06249,-75.22188,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Cleaver Boulder,SDS with sidepull jugs. Move straight up to an easy top out.,https://www.mountainproject.com/route/119291594/my-hat-is-like-a-sharks-fin
429,Tsunami,Boulder,V1+,40.06249,-75.22188,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Cleaver Boulder,Follow the weakness under the roof. Exit climbers right and heel hook traverse to a low jug.,https://www.mountainproject.com/route/119100448/tsunami
430,Delicatessen,Boulder,V3,40.06249,-75.22188,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Cleaver Boulder,"SDS on far left end with your choice of holds on the face. The top lip is off. Traverse right with crimps and interesting features to the large rail just past the midpoint. Continue along the face until you reach the massive horn, top out above.",https://www.mountainproject.com/route/120395146/delicatessen
431,A Monkey In The Park,Boulder,V0+,40.02748,-75.19702,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Creek Side Boulders,"Start with a large jug and high feet over the water's edge. Throw to good holds along the top of the boulder. There are plenty of foot options for those who like to smear or throw in heel and toe hooks. Once both hands are on the main horizontal crack in the boulder, throwing the right hand to a high sharp crimp will be the crux. Tall climbers will be able to skip this intermediate crimp and should throw their right hand in to a slightly farther jug just past the crimp. Rock over the high right foot and reach up to the last two top out jugs to stand up.",https://www.mountainproject.com/route/118693704/a-monkey-in-the-park
432,Social Distance,Boulder,V0-1,40.05376,-75.20847,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Cresheim Creek,Flakey jugs with slippery feet due to lichens. Largest flake is loose but it can be easily skipped. I identified it in the pictures. Some vines and plants growing out of cracks. I gave it a quick cleaning and plan on tidying it up a bit more.,https://www.mountainproject.com/route/118738170/social-distance
433,Cresheim Pinch,Boulder,V1,40.05376,-75.20847,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Cresheim Creek,SDS with a large jug under the overhang. Climb interesting holds to a large jug and continue up and right to finish on the large flake near the top. Unfortunately the top is a muddy slope so topping out doesn't seem possible.,https://www.mountainproject.com/route/120401195/cresheim-pinch
434,Requiescence,Boulder,V0-1,40.0539,-75.20532,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Cresheim Valley,SDS with a left hand in the horizontal crack and a right hand undercling/sidepull. Stand up and gain the lip. Traverse left to the peak and top out. Barely a warm-up.,https://www.mountainproject.com/route/119211008/requiescence
435,Tranquility,Boulder,V0-1,40.0539,-75.20532,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Cresheim Valley,"SDS with a left hand in the horizontal crack and a right hand undercling/sidepull. Stand up, reach for the lip and top out straight up. Barely a warm-up.",https://www.mountainproject.com/route/119210980/tranquility
436,Mola Mola,Boulder,V1,40.0539,-75.20532,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Cresheim Valley,"SDS on slopers at the far left end of the lip. Climb the lip on slopers and crimps, top out at the peak.",https://www.mountainproject.com/route/119210579/mola-mola
437,Resurrect Dead,Boulder,V1+,40.0539,-75.20532,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Cresheim Valley,SDS with two extremely low jugs. Climb straight up and top out.,https://www.mountainproject.com/route/119210778/resurrect-dead
438,Second Wave,Boulder,V2,40.0539,-75.20532,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Cresheim Valley,SDS on far left side of overhang. Traverse right and top out over the corner. Excellently formed holds make for fun climbing.,https://www.mountainproject.com/route/119210927/second-wave
439,Luthers Alley,Boulder,V2+,40.0539,-75.20532,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Cresheim Valley,SDS with two sloper edges in the middle of the face. Climb straight up with crimps and slopers. Keep off of the far right arête.,https://www.mountainproject.com/route/119210649/luthers-alley
440,Through The Leaves Traverse,Boulder,V0+,40.06357,-75.19987,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Cresheim Valley,Start at the very left of the boulder and traverse left past the tree and then head straight up. The Arete is off.,https://www.mountainproject.com/route/120046442/through-the-leaves-traverse
441,Williams Roof,Boulder,V1+,40.06357,-75.19987,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Cresheim Valley,"Start directly underneath the roof and work your way up using various cracks. Reach up to the lip of the roof, swing your feet out left and mantle over the roof.",https://www.mountainproject.com/route/120046329/williams-roof
442,Roof Deck,Boulder,V0-,40.06253,-75.22206,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Wissahickon Grit,Start matched on the far left lip. Traverse right along the lip as far as possible before topping out.,https://www.mountainproject.com/route/119304989/roof-deck
443,Tributaries,Boulder,V0,40.06253,-75.22206,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Wissahickon Grit,"Long, low traverse with interesting moves if you take it into the overhung/cave section. Standing start on the top lip on the left side of the face. Proceed right along the central cracks, and transition into the overhang and cave before finishing at the downed log.",https://www.mountainproject.com/route/119720633/tributaries
444,The Delaware,Boulder,V0,40.06253,-75.22206,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Wissahickon Grit,SDS at the base of the large crack. Climb up the crack to an easy top out.,https://www.mountainproject.com/route/119420630/the-delaware
445,Belly Up,Boulder,V0,40.06253,-75.22206,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Wissahickon Grit,SDS with two nice edges. Climb straight up to an easy top out.,https://www.mountainproject.com/route/119304922/belly-up
446,Green Anaconda,Boulder,V0+,40.06253,-75.22206,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Wissahickon Grit,"Saw some chalk on this, let me know if you sent this and want to name it.Start with opposing side pulls at chest height. Follow the prominent crack to the top. This is a tall one!",https://www.mountainproject.com/route/120395055/green-anaconda
447,Dueling Snakes,Boulder,V0+,40.06253,-75.22206,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Wissahickon Grit,Stand start with opposing sidepulls in the middle of the face. Work your way up the serpentine cracks and top out.,https://www.mountainproject.com/route/119304946/dueling-snakes
448,Crawlspace,Boulder,V2,40.06253,-75.22206,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Wissahickon Grit,SDS with sidepull jugs on far left. Heel hook and traverse your way across the face without using the lip or jugs on the lip. Top out once you reach the large jug on the far right.,https://www.mountainproject.com/route/119304968/crawlspace
449,Ouroburlos,Boulder,V2,40.06253,-75.22206,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Wissahickon Grit,Stand start matched on head-height sloper on the arête. Climb the right face following the arête. Top out just before you reach the prominent crack in the middle of the wall. This thing is heady but the landing is great.,https://www.mountainproject.com/route/120394910/ouroburlos
450,Ouroburlos Sit Project,Boulder,V4-5,40.06253,-75.22206,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,The Wissahickon Grit,Project - SDS with large jug under overhang. Get established on the arête and finish the same as Ouroburlos,https://www.mountainproject.com/route/120395002/ouroburlos-sit-project
451,Take It Or Leave It,Boulder,V1-,40.02796,-75.19527,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Take It or Leave It,Decent vertical wall with a good line up the middle. Be prepared to downclimb and drop to your pad because it doesn't really top out unless you grab a huge root left or traverse a bit right. The interesting part at least is over when you hit the dish at the lip. The quality of the dish gives it a bit of spice.,https://www.mountainproject.com/route/120212988/take-it-or-leave-it
452,Charpcuterie,Boulder,V0-,40.03568,-75.20047,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Toleration Statue,"SDS with opposing sidepulls, the large left sidepull is on. Climb up to an easy top out.",https://www.mountainproject.com/route/120398396/charpcuterie
453,It Always Rains On A Picnic,Boulder,V0-,40.03568,-75.20047,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Toleration Statue,Stand start with slopers at head height. Pull onto the slab and top out. Right arête is off.,https://www.mountainproject.com/route/120398439/it-always-rains-on-a-picnic
454,Appleyard Arete,Boulder,V0,40.03568,-75.20047,Pennsylvania,Southeastern Lowlands,Philly,Wissahickon Valley Park,Toleration Statue,SDS as low on the arête as possible. Climb the arête staying left as long as possible. Top out at the peak. It's possible to start with underclings below the lip.,https://www.mountainproject.com/route/120398458/appleyard-arete
